,score,variable
63,0.4994636230941034,"['V6', 'V24', 'V8', 'V14', 'V7', 'V16', 'V10', 'V22', 'V20', 'V17', 'V27', 'V2', 'V23', 'V5', 'V13', 'V19', 'V25', 'V9', 'V26', 'V15']"
64,0.7948621406123374,"['V24', 'V12', 'V2', 'V7', 'V15', 'V29', 'V19', 'V21', 'V27', 'V3', 'V16', 'V11', 'V9', 'V1', 'V14', 'V6', 'V23', 'V10', 'V17', 'V18']"
65,0.4994636230941034,"['V7', 'V18', 'V21', 'V14', 'V26', 'V17', 'V3', 'V10', 'V30', 'V5', 'V12', 'V19', 'V29', 'V25', 'V11', 'V23', 'V9', 'V28', 'V27', 'V13']"
66,0.7128069968572724,"['V24', 'V19', 'V16', 'V25', 'V21', 'V27', 'V23', 'V10', 'V3', 'V1', 'V8', 'V29', 'V26', 'V30', 'V14', 'V22', 'V17', 'V28', 'V20', 'V4']"
67,0.5815187668491684,"['V18', 'V4', 'V3', 'V27', 'V2', 'V26', 'V19', 'V12', 'V8', 'V21', 'V7', 'V6', 'V22', 'V11', 'V28', 'V10', 'V13', 'V16', 'V14', 'V25']"
68,0.5651077380981554,"['V19', 'V8', 'V28', 'V21', 'V9', 'V30', 'V3', 'V10', 'V13', 'V29', 'V15', 'V27', 'V23', 'V11', 'V7', 'V4', 'V26', 'V17', 'V22', 'V25']"
69,0.6307518531022074,"['V24', 'V18', 'V28', 'V15', 'V4', 'V29', 'V7', 'V11', 'V25', 'V13', 'V19', 'V22', 'V9', 'V6', 'V17', 'V27', 'V12', 'V30', 'V16', 'V14']"
70,0.5651077380981554,"['V26', 'V23', 'V9', 'V18', 'V15', 'V1', 'V22', 'V27', 'V28', 'V14', 'V29', 'V7', 'V25', 'V19', 'V4', 'V11', 'V8', 'V20', 'V3', 'V10']"
71,0.6143408243511944,"['V20', 'V28', 'V19', 'V13', 'V6', 'V2', 'V3', 'V5', 'V18', 'V24', 'V27', 'V17', 'V1', 'V9', 'V8', 'V15', 'V22', 'V12', 'V23', 'V26']"
72,0.4994636230941034,"['V3', 'V12', 'V25', 'V28', 'V13', 'V1', 'V10', 'V18', 'V29', 'V14', 'V23', 'V5', 'V4', 'V22', 'V15', 'V11', 'V17', 'V21', 'V8', 'V20']"
73,0.4994636230941034,"['V22', 'V1', 'V21', 'V30', 'V3', 'V27', 'V28', 'V4', 'V2', 'V10', 'V17', 'V8', 'V23', 'V16', 'V20', 'V9', 'V15', 'V12', 'V14', 'V25']"
74,0.6635739106042333,"['V16', 'V8', 'V6', 'V29', 'V21', 'V17', 'V20', 'V28', 'V26', 'V14', 'V22', 'V12', 'V10', 'V4', 'V11', 'V7', 'V27', 'V19', 'V30', 'V23']"
75,0.6963959681062595,"['V21', 'V4', 'V28', 'V7', 'V27', 'V25', 'V10', 'V17', 'V5', 'V26', 'V22', 'V11', 'V2', 'V8', 'V9', 'V18', 'V13', 'V14', 'V16', 'V12']"
76,0.5815187668491684,"['V4', 'V30', 'V6', 'V29', 'V9', 'V23', 'V16', 'V19', 'V22', 'V25', 'V2', 'V14', 'V11', 'V15', 'V7', 'V1', 'V13', 'V18', 'V24', 'V17']"
77,0.5486967093471424,"['V18', 'V3', 'V2', 'V21', 'V26', 'V30', 'V4', 'V24', 'V23', 'V29', 'V22', 'V5', 'V11', 'V20', 'V6', 'V28', 'V13', 'V25', 'V1', 'V19']"
78,0.5322856805961294,"['V18', 'V24', 'V7', 'V14', 'V10', 'V13', 'V27', 'V19', 'V28', 'V12', 'V8', 'V9', 'V11', 'V15', 'V26', 'V29', 'V6', 'V2', 'V5', 'V4']"
79,0.6963959681062595,"['V4', 'V24', 'V30', 'V8', 'V12', 'V14', 'V22', 'V27', 'V15', 'V2', 'V5', 'V26', 'V25', 'V7', 'V3', 'V11', 'V9', 'V6', 'V13', 'V29']"
80,0.5651077380981554,"['V26', 'V16', 'V13', 'V9', 'V4', 'V17', 'V25', 'V23', 'V14', 'V12', 'V1', 'V5', 'V24', 'V11', 'V21', 'V3', 'V7', 'V29', 'V6', 'V22']"
81,0.5158746518451164,"['V20', 'V7', 'V11', 'V9', 'V6', 'V2', 'V22', 'V15', 'V29', 'V30', 'V12', 'V18', 'V10', 'V13', 'V19', 'V1', 'V17', 'V4', 'V24', 'V23']"
82,0.5979297956001814,"['V20', 'V14', 'V27', 'V7', 'V15', 'V11', 'V1', 'V28', 'V2', 'V24', 'V5', 'V13', 'V3', 'V9', 'V29', 'V19', 'V16', 'V17', 'V12', 'V30']"
83,0.5979297956001814,"['V20', 'V12', 'V15', 'V22', 'V7', 'V25', 'V8', 'V18', 'V4', 'V10', 'V29', 'V21', 'V5', 'V16', 'V13', 'V6', 'V27', 'V3', 'V1', 'V14']"
84,0.5495251828925155,"['V30', 'V2', 'V1', 'V9', 'V15', 'V10', 'V4', 'V12', 'V18', 'V16', 'V3', 'V7', 'V6', 'V8', 'V28', 'V24', 'V25', 'V5', 'V29', 'V27']"
85,0.4994636230941034,"['V16', 'V6', 'V22', 'V28', 'V1', 'V13', 'V15', 'V4', 'V29', 'V27', 'V3', 'V8', 'V14', 'V19', 'V26', 'V10', 'V12', 'V7', 'V30', 'V5']"
86,0.5979297956001814,"['V18', 'V28', 'V25', 'V11', 'V3', 'V12', 'V7', 'V10', 'V14', 'V30', 'V4', 'V24', 'V6', 'V20', 'V15', 'V26', 'V16', 'V23', 'V9', 'V5']"
